question_id,option_id,option_label
cp1,1,Nombre de cada integrante
cp2,0,Masculino
cp2,1,Femenino
cp2,9999,No contesta
cp3,0,Hombre
cp3,1,Mujer
cp3,2,Persona no binaria
cp3,9999,No contesta
cp4_1,8888,No sabe
cp4_1,9999,No contesta
cp5,1,Familia o pareja
cp5,2,Corresidentes (roomies)
cp5,3,Sola(o)
cp5,9999,No contesta
cp6,1,IMSS
cp6,2,"Hospital naval, militar o Pemex"
cp6,3,ISSSTE Federal
cp6,4,ISSSTE Estatal/ ISSSTELEON
cp6,5,"Secretaría de Salud (""Cuidar tu salud"")"
cp6,6,Servicios Médicos UANL /Hospital Universitario
cp6,7,Seguro médico privado
cp6,8,Ninguna institución
cp6,9,Clínica municipal
cp6,10,"Servicios empresariales de salud (Heineken, Vitro)"
cp6,11,Suspe (Gobierno)
cp6,12,Conalep
cp6,8888,No Sabe
cp6,9999,No contesta
cp7,0,No
cp7,1,Sí
cp7,8888,No sabe
cp7,9999,No contesta
cp8,0,Ninguno
cp8,1,Preescolar
cp8,2,Primaria
cp8,3,Secundaria
cp8,4,Preparatoria o bachillerato general
cp8,5,Bachillerato tecnológico
cp8,6,Estudios técnicos o comerciales con primaria terminada
cp8,7,Estudios técnicos o comerciales con secundaria terminada
cp8,8,Estudios técnicos o comerciales con preparatoria terminada
cp8,9,Normal con primaria o secundaria terminada
cp8,10,Normal de licenciatura
cp8,11,Licenciatura
cp8,12,Especialidad
cp8,13,Maestría
cp8,14,Doctorado
cp8,8888,No sabe
cp8,9999,No contesta
cp9,1,Preescolar
cp9,2,Primaria
cp9,3,Secundaria
cp9,4,Preparatoria o bachillerato general
cp9,5,Bachillerato tecnológico
cp9,6,Estudios técnicos o comerciales con primaria terminada
cp9,7,Estudios técnicos o comerciales con secundaria terminada
cp9,8,Estudios técnicos o comerciales con preparatoria terminada
cp9,9,Normal con primaria o secundaria terminada
cp9,10,Normal de licenciatura
cp9,11,Licenciatura
cp9,12,Especialidad
cp9,13,Maestría
cp9,14,Doctorado
cp9,8888,No sabe
cp9,9999,No contesta
cp10,1,Pública
cp10,2,Privada
cp10,3,Otro tipo
cp10,8888,No sabe
cp10,9999,No contesta
cp11,0,NO
cp11,1,SÍ
cp11,8888,No sabe
cp11,9999,No contesta
cp12,0,NO
cp12,1,SÍ
cp12,8888,No sabe
cp12,9999,No contesta
cp13,0,NO
cp13,1,SÍ
cp13,8888,No sabe
cp13,9999,No contesta
cp14_1,0,NO
cp14_1,1,SÍ
cp14_1,8888,No sabe
cp14_1,9999,No contesta
cp14_2,0,NO
cp14_2,1,SÍ
cp14_2,8888,No sabe
cp14_2,9999,No contesta
cp15,1,Pésimas
cp15,2,Malas
cp15,3,Regulares
cp15,4,Buenas
cp15,5,Excelentes
cp15,8888,No sabe
cp15,9999,No contesta
cp16_1,1,1
cp16_1,2,2
cp16_1,3,3
cp16_1,4,4
cp16_1,5,5
cp16_1,6,6
cp16_1,7,7
cp16_1,8,8
cp16_1,9,9
cp16_1,10,10
cp16_1,8888,No sabe
cp16_1,9999,No contesta
cp16_2,1,1
cp16_2,2,2
cp16_2,3,3
cp16_2,4,4
cp16_2,5,5
cp16_2,6,6
cp16_2,7,7
cp16_2,8,8
cp16_2,9,9
cp16_2,10,10
cp16_2,8888,No sabe
cp16_2,9999,No contesta
cp16_3,1,1
cp16_3,2,2
cp16_3,3,3
cp16_3,4,4
cp16_3,5,5
cp16_3,6,6
cp16_3,7,7
cp16_3,8,8
cp16_3,9,9
cp16_3,10,10
cp16_3,8888,No sabe
cp16_3,9999,No contesta
p1,0,No
p1,1,Sí
p1,3,No se requieren dispositivos electrónicos
p1,8888,No sabe
p1,9999,No contesta
p1,7777,No aplica (no hay estudiantes)
p2,0,No
p2,1,Sí
p2,8888,No sabe
p2,9999,No contesta
p3,1,Empleado(a)
p3,2,Buscando empleo
p3,3,Estudiante
p3,4,Negocio propio / independiente
p3,5,Trabajo doméstico no remunerado (limpieza y cuidados)
p3,6,Trabajo doméstico remunerado (limpieza de otros hogares)
p3,7,Jubilado/Pensionado
p3,8,"Ni estudia, ni trabaja, ni busca empleo"
p3,9,Otro. Especificar
p3,9999,No contesta
p4,1,Presencial
p4,2,Híbrido
p4,3,A distancia / en casa
p5,8888,No sabe
p5,9999,No contesta
p6,8888,No sabe
p6,9999,No contesta
p7_1,0,NO
p7_1,1,SÍ
p7_1,8888,No sabe
p7_1,9999,No contesta
p7_2,0,NO
p7_2,1,SÍ
p7_2,8888,No sabe
p7_2,9999,No contesta
p7_3,0,NO
p7_3,1,SÍ
p7_3,8888,No sabe
p7_3,9999,No contesta
p7_4,0,NO
p7_4,1,SÍ
p7_4,8888,No sabe
p7_4,9999,No contesta
p7_5,0,NO
p7_5,1,SÍ
p7_5,8888,No sabe
p7_5,9999,No contesta
p7_6,0,NO
p7_6,1,SÍ
p7_6,8888,No sabe
p7_6,9999,No contesta
p8_1,8888,No sabe
p8_1,9999,No contesta
p8_2,8888,No sabe
p8_2,9999,No contesta
quehaceres_hogar,8888,No sabe
quehaceres_hogar,9999,No contesta
p9_1,8888,No sabe
p9_1,9999,No contesta
p9_2,8888,No sabe
p9_2,9999,No contesta
cuidado_personas,8888,No sabe
cuidado_personas,9999,No contesta
total_min_trabajo_rem_y_norem,8888,No sabe
total_min_trabajo_rem_y_norem,9999,No contesta
p10,1,Trabajo
p10,2,Escuela
p10,3,Compras
p10,4,"Médico, hospital"
p10,5,Diversión
p10,6,Acompañar o Llevar a alguien
p10,7,"Banco, Pago de servicios"
p10,8,Visita
p10,9,Sin viaje
p10,10,Buscar trabajo
p10,11,Iglesia
p10,12,Trámites
p10,13,Funeral
p10,9999,No contesta
p11,1,"Compras del hogar (despensa, artículos de limpieza, artículos de higiene personal, utiles para los niños(as) etc.)"
p11,2,"Compras personales ( Ropa, maquillaje, perfumes, etc)"
p11,3,Libros
p11,4,Artículos para negocio
p11,8888,No sabe
