concept_id,label,accion,tipos,y2023,y2024,y2025,n,score,opts,multi,t23,t24,t25
attr_afiliacion_servicio_salud,afiliacion_servicio_salud,solo_concepto,categorica,cp6,cp6,cp6,3,0.53,code_partial,,¿Con cuál servicio médico cuenta (NOMBRE)?,CP 6 ¿Con cuál servicio médico cuenta (NOMBRE)?,"¿Con cuál servicio médico cuenta (NOMBRE)?

Nota par"
attr_tipo_trabajo,tipo_trabajo,comparable,categorica,p3,p3,p1,3,0.82,relabel?,,"Durante la semana pasada, ¿cuál fue su principal act","P 3 Durante la semana pasada, ¿cuál fue su principal","Durante la semana pasada, ¿cuál fue su principal ocu"
attr_tipo_consulta,tipo_consulta,comparable,categorica,p83,p89,p100,3,0.89,match,,Su última visita médica en fue:,P 89 Su última visita médica fue:,Su última visita médica fue:
attr_ingreso,ingreso,solo_concepto,categorica,p144,p164,p167,3,0.3,relabel?,,FINALMENTE: ¿Cuál es el ingreso mensual total del ho,FINALMENTE: ¿Cuál es el ingreso mensual total del ho,FINALMENTE: Tomando en cuenta a todas las personas q
attr_modo_transporte,modo_transporte,solo_concepto,categorica,p16,p16,p17,3,0.25,code_diff,,Durante el día de ayer: ¿Cuál de los siguientes modo,P 16 Para su principal motivo de traslado que nos me,Para llegar al destino principal que nos mencionó ¿C
attr_nivel_actual_estudios,nivel_actual_estudios,comparable,categorica,cp9,cp9,cp9,3,0.96,match,,¿Cuál es el nivel máximo de estudios actualmente cur,9 ¿Cuál es el nivel máximo de estudios actualmente c,¿Cuál es el nivel máximo de estudios actualmente cur
attr_sexo,sexo,comparable,categorica,cp2,cp2,cp2,3,0.38,relabel?,,Sexo. A encuestadores: preguntar sexo (asignado de n,CP 2 Sexo. A encuestadores: preguntar sexo (asignado,¿Cuál es su sexo asignado al nacer?
attr_servicio_salud_donde_se_atendio,servicio_salud_donde_se_atendio,solo_concepto,categorica,p80,p86,p97,3,1.0,code_partial,,¿En dónde se atendió?,P 86 ¿En dónde se atendió?,¿En dónde se atendió?
attr_edad_anos,edad_anos,comparable,numerica,cp4_1,cp4_1,cp4_1,3,1.0,na,,¿Cuántos años cumplidos tiene (NOMBRE)?,CP 4 ¿Cuántos años cumplidos tiene (NOMBRE)?,¿Cuántos años cumplidos tiene (NOMBRE)?
attr_tipo_escuela,tipo_escuela,comparable,categorica,cp10,cp10,cp11,3,0.17,match,,Tipo de escuela,CP 10 Tipo de escuela,¿La escuela a la que asiste es pública o privada?
attr_nivel_max_estudios,nivel_max_estudios,comparable,categorica,cp8,cp8,cp8,3,1.0,match,,¿Cuál es el nivel máximo de estudios terminado?,CP 8 ¿Cuál es el nivel máximo de estudios terminado?,¿Cuál es el nivel máximo de estudios terminado?
c006,durante el ultimo ciclo escolar de se le nego el acc,comparable,categorica,cp11,cp11,,2,0.85,match,,Durante el último ciclo escolar de NOMBRE DEL ESTUDI,CP 11 Durante el último ciclo escolar de NOMBRE DEL ,
c007,durante los ultimos 12 meses ha sido victima de bull,comparable,categorica,cp12,cp12,,2,0.84,match,,Durante los últimos 12 meses NOMBRE DEL ESTUDIANTE h,Durante los últimos 12 meses ha sabido de algún caso,
c008,en caso de responder si al menos para un estudiante ,comparable,categorica,cp13,cp13,,2,1.0,match,,En caso de responder SÍ al menos para un estudiante ,"En caso de responder ""Sí"" al menos para un estudiant",
c013,secundaria,comparable,categorica,cp16_2,cp17_2,,2,1.0,match,,Secundaria,CP 17 2 Secundaria,
c014,media superior preparatoria bachillerato,comparable,categorica,cp16_3,cp17_3,,2,1.0,match,,"Media Superior (Preparatoria, bachillerato)","CP 17 3 Media Superior (Preparatoria, bachillerato)",
c016,con quien vive en su hogar,comparable,categorica,cp5,cp5,cp5,3,1.0,match,,¿Con quién vive en su hogar?,CP 5 ¿Con quién vive en su hogar?,¿Con quién vive en su hogar?
c017,estudia actualmente,comparable,categorica,cp7,cp7,cp7,3,1.0,match,,(NOMBRE) ¿Estudia actualmente?,CP 7 (NOMBRE) ¿Estudia actualmente?,(NOMBRE) ¿Estudia actualmente?
c019,numero de acciones de participacion ciudadana mencio,comparable,numerica,num_acciones_participacion_ciudadana,,num_acciones_pc,2,0.94,na,,Número de acciones de participación ciudadana mencio,,Número de acciones de participación ciudadana mencio
c020,numero de razones por las que cree que en nuevo leon,comparable,numerica,num_discriminaciones,,num_discriminaciones,2,0.88,na,,Número de razones por las que cree que en Nuevo León,,Número de razones por las que cree que se le discrim
c021,en su hogar existen suficientes dispositivos electro,solo_concepto,categorica,p1,p1,,2,0.97,code_diff,,En su hogar existen suficientes dispositivos electró,En su hogar existen suficientes dispositivos electró,
c024,la policia de su colonia lo hace sentir mas seguro,solo_concepto,categorica,p100_2,p108_2,p120_2,3,0.86,code_diff,,¿La policía de su colonia lo hace sentir más seguro?,P 108 2 ¿La policía de su colonia lo hace sentir más,¿La policía de su colonia le hace sentir más seguro(
c025,confia en la policia de su colonia,solo_concepto,categorica,p100_3,p108_3,p120_3,3,1.0,code_diff,,¿Confía en la policía de su colonia?,P 108 3 ¿Confía en la policía de su colonia?,¿Confía en la policía de su colonia?
c027,considera que las decisiones y actuar de la policia ,solo_concepto,categorica,p100_5,p108_5,,2,1.0,code_diff,,¿Considera que las decisiones y actuar de la policía,P 108 5 ¿Considera que las decisiones y actuar de la,
c028,la policia es justa al tomar decisiones,solo_concepto,categorica,p100_6,p108_6,p120_6,3,1.0,code_diff,,¿La policía es justa al tomar decisiones?,P 108 6 ¿La policía es justa al tomar decisiones?,¿La policía es justa al tomar decisiones?
c034,durante el ultimo ano ha tenido contacto con la poli,comparable,categorica,p102,p110,,2,1.0,match,,"Durante el último año, ¿ha tenido contacto con la po","P 110 Durante el último año, ¿ha tenido contacto con",
c035,si respondio que si a la pregunta anterior con que i,comparable,categorica,p103,p111,,2,1.0,match,,"Si respondió que sí a la pregunta anterior, ¿con qué","P 111 Si respondió que sí a la pregunta anterior, ¿c",
c036,la policia cumplio con su labor,comparable,categorica,p104_1,p112_1,,2,1.0,match,,La policía cumplió con su labor.,P 112 1 La policía cumplió con su labor.,
c038,si requirio de la policia esta acudio al llamado,solo_concepto,categorica,p104_3,p112_3,p124_3,3,0.94,code_partial,,"Si requirió de la policía, ¿ésta acudió al llamado?","3 Si requirió de la policía, ¿ésta acudió al llamado","Si requirió de la policía, ¿ésta acudió al llamado?"
c039,considera que la violencia hacia las mujeres dentro ,comparable,categorica,p105,p113,p125,3,0.84,match,,Considera que la violencia hacia las mujeres dentro ,Considera que la violencia hacia las mujeres dentro ,Considera que la violencia hacia las mujeres dentro 
c040,considera que la violencia hacia las mujeres en la v,comparable,categorica,p106,p114,,2,1.0,match,,Considera que la violencia hacia las mujeres en la v,Considera que la violencia hacia las mujeres en la v,
c042,las mujeres tienen un mayor riesgo de ser agredidas ,comparable,categorica,p107_2,p115_2,p126_2,3,0.95,match,,Las mujeres tienen un mayor riesgo de ser agredidas ,2 Las mujeres tienen un mayor riesgo de ser agredida,Las mujeres tienen un mayor riesgo de ser agredidas 
c043,las mujeres comparten la responsabilidad con sus vic,comparable,categorica,p107_3,p115_3,p126_3,3,0.96,match,,Las mujeres comparten la responsabilidad con sus vic,3 Las mujeres comparten la responsabilidad con sus v,Las mujeres comparten la responsabilidad con sus vic
c044,que autoridad es la principal responsable de investi,comparable,categorica,p108,p106,p118,3,0.81,match,,¿Qué autoridad es la principal responsable de invest,¿Qué autoridad es la principal responsable de invest,"Para usted, ¿cuál es la principal autoridad responsa"
c045,la fiscalia general de justicia es la responsable de,comparable,categorica,p109,p107,p119,3,1.0,match,,La Fiscalía General de Justicia es la responsable de,La Fiscalía General de Justicia es la responsable de,La Fiscalía General de Justicia es la responsable de
c049,cual es el medio por el que mas se entera de los tem,solo_concepto,categorica,p112,p117,p128,3,1.0,code_partial,,¿Cuál es el medio por el que más se entera de los te,P 117 ¿Cuál es el medio por el que más se entera de ,¿Cuál es el medio por el que más se entera de los te
c050,si contesto redes sociales cual,solo_concepto,categorica,p113,p118,,2,1.0,code_partial,,"Si contestó redes sociales, ¿cuál?","P 118 Si contestó redes sociales, ¿cuál?",
c051,si en la pregunta anterior respondio que no se enter,solo_concepto,categorica,p114,p119,,2,0.93,code_partial,,Si en la pregunta anterior respondió que no se enter,P 119 Si en la pregunta P117 respondió que no se ent,
c055,la corrupcion consiste en el abuso de poder para ben,comparable,categorica,p118,p127,p135,3,0.87,match,,La corrupción consiste en el abuso de poder para ben,La corrupción consiste en el abuso de poder para ben,La corrupción consiste en el abuso de poder para ben
c056,en su opinion en su municipio la corrupcion es una p,comparable,categorica,p119,p128,p136,3,1.0,match,,"En su opinión, en su municipio la corrupción es una ","En su opinión, en su municipio la corrupción es una ","En su opinión, en su municipio la corrupción es una "
c057,si respondio sin viaje en la pregunta anterior por q,solo_concepto,categorica,p12,p12,,2,0.86,code_partial,,"Si respondió sin viaje en la pregunta anterior (P9),",P 12 Si respondió que no en la pregunta anterior (P1,
c058,usted o algun conocido o familiar experimento algun ,comparable,categorica,p120,p129,,2,0.86,match,,¿Usted o algún conocido o familiar experimentó algún,¿Usted o algún conocido o familiar experimentó algún,
c063,es capaz de resolver los problemas del municipio,comparable,categorica,p124_2,p132_2,p140,3,0.87,match,,¿Es capaz de resolver los problemas del municipio?,P 132 2 ¿Fue capaz de resolver los problemas del mun,¿Es capaz de resolver los problemas del municipio?
c064,cuenta con un equipo capacitado,comparable,categorica,p124_3,p142_3,p141,3,1.0,match,,¿Cuenta con un equipo capacitado?,P 142 3 ¿Cuenta con un equipo capacitado?,¿Cuenta con un equipo capacitado?
c065,ha cumplido con sus promesas de campana compromisos,comparable,categorica,p124_4,p143_4,p142,3,1.0,match,,¿Ha cumplido con sus promesas de campaña/compromisos,¿Ha cumplido con sus promesas de campaña/compromisos,¿Ha cumplido con sus promesas de campaña/compromisos
c066,usted considera que de alcalde alcaldesa toma la may,comparable,categorica,p125,p136,p144,3,0.94,match,,Usted considera que (Nombre de ALCALDE/ALCALDESA) to,Usted considera que (Nombre de ALCALDE/ALCALDESA) to,Usted considera que (Nombre de ALCALDE/ALCALDESA) to
c067,en terminos generales aprueba o desaprueba el trabaj,comparable,categorica,p126,p137,p145,3,0.88,match,,"En términos generales, ¿aprueba o desaprueba el trab","P 137 En términos generales, ¿aprueba o desaprueba e","En términos generales, ¿aprueba o desaprueba el trab"
c070,es capaz de resolver los problemas del estado,comparable,categorica,p128_2,p141_2,p147,3,1.0,match,,¿Es capaz de resolver los problemas del Estado?,P 141 2 ¿Es capaz de resolver los problemas del Esta,¿Es capaz de resolver los problemas del Estado?
c073,usted considera que samuel garcia toma la mayoria de,comparable,categorica,p129,p144,p151,3,1.0,match,,Usted considera que Samuel García toma la mayoría de,P 144 Usted considera que Samuel García toma la mayo,Usted considera que Samuel García toma la mayoría de
c075,para usted el gobierno de samuel garcia ha sido,comparable,categorica,p130,p145,,2,1.0,match,,"Para usted, el gobierno de Samuel García ha sido:","Para usted, el gobierno de Samuel García ha sido:",
c080,en terminos generales aprueba o desaprueba el trabaj,comparable,categorica,p137,p146,p152,3,0.9,match,,"En términos generales, ¿aprueba o desaprueba el trab","En términos generales, ¿aprueba o desaprueba el trab","En términos generales, ¿aprueba o desaprueba el trab"
c081,asistir a marchas caminatas o manifestaciones,comparable,categorica,p139_1,p157_1,p161_1,3,1.0,match,,"Asistir a marchas, caminatas o manifestaciones.","P 157 1 Asistir a marchas, caminatas o manifestacion","Asistir a marchas, caminatas o manifestaciones."
c082,otra especificar,comparable,categorica,p139_10,p157__10,,2,1.0,match,,Otra. Especificar,P 157 10 Otra. Especificar,
c083,participar en dialogos con autoridades consejos o co,comparable,categorica,p139_2,p157_2,p161_2,3,1.0,match,,Participar en diálogos con autoridades (Consejos o c,P 157 2 Participar en diálogos con autoridades (Cons,Participar en diálogos con autoridades (Consejos o c
c084,hacer voluntariado en una asociacion civil o colecti,comparable,categorica,p139_3,p157_3,p161_3,3,1.0,match,,Hacer voluntariado en una asociación civil o colecti,P 157 3 Hacer voluntariado en una asociación civil o,Hacer voluntariado en una asociación civil o colecti
