q_id,q_text,q_section,q_type,q_notes
cp1,CP 1 ¿Cuantas personas viven en este hogar?,variables_generales,numerica,
cp2,CP 2 Sexo. A encuestadores: preguntar sexo (asignado de nacimiento),variables_generales,categorica,
cp3,CP 3 Género. (Solo para la persona encuestada) ¿Con qué género se identifica? (no asumirlo),variables_generales,categorica,
cp4_1,CP 4 ¿Cuántos años cumplidos tiene (NOMBRE)?,variables_generales,numerica,
cp5,CP 5 ¿Con quién vive en su hogar?,variables_generales,categorica,
cp6,CP 6 ¿Con cuál servicio médico cuenta (NOMBRE)?,desarrollo_social_y_economico,categorica,
cp7,CP 7 (NOMBRE) ¿Estudia actualmente?,educacion,categorica,
cp8,CP 8 ¿Cuál es el nivel máximo de estudios terminado?,educacion,categorica,
cp9,9 ¿Cuál es el nivel máximo de estudios actualmente cursando (si sigue estudiando)?,educacion,categorica,
cp10,CP 10 Tipo de escuela,educacion,categorica,
cp11,CP 11 Durante el último ciclo escolar de NOMBRE DEL ESTUDIANTE ¿se le negó el acceso a las clases debido a la falta de pago de las cuotas a él o a alguien de su escuela?,educacion,categorica,
cp12,Durante los últimos 12 meses ha sabido de algún caso de BULLYING o ACOSO ESCOLAR en la escuela a la que asiste NOMBRE DEL ESTUDIANTE,educacion,categorica,
cp13,"En caso de responder ""Sí"" al menos para un estudiante del hogar, responder por cada estudiante ¿Considera que las autoridades escolares o maestros han tomado medidas efectivas para mitigar los casos de bullying o acoso escolar?",educacion,categorica,
cp14_1,CP 14 1 Temporadas de frío,educacion,categorica,
cp14_2,CP 14 2 Temporadas de calor,educacion,categorica,
cp15,"CP 15 En la escuela a la que asiste NOMBRE DEL ESTUDIANTE existen dispositivos electrónicos (laptop, tablet, computadora) suficientes para realizar sus actividades escolares",educacion,categorica,
cp16,"¿Cómo evaluaría las instalaciones y equipamientos (baños, bancas, salones, patios, bebederos, etc.) de la escuela a la que asiste NOMBRE DEL ESTUDIANTE?",educacion,categorica,
cp17_1,CP 17 1 Primaria,educacion,categorica,
cp17_2,CP 17 2 Secundaria,educacion,categorica,
cp17_3,"CP 17 3 Media Superior (Preparatoria, bachillerato)",educacion,categorica,
p1,"En su hogar existen suficientes dispositivos electrónicos (laptop, tablet, celular, computadora) para que quienes estudian y los requieren, tomen clases o realicen actividades escolares",educacion,categorica,
p2,P 2 3. No se requieren dispositivos electrónicos,educacion,categorica,
p3,"P 3 Durante la semana pasada, ¿cuál fue su principal ocupación? (Seleccione una)",economia_y_trabajo,categorica,
p4,P 4 Solo para quienes respondieron 1 y 4 en la pregunta anterior (P3) ¿Cuál es la modalidad de su trabajo principal?,economia_y_trabajo,categorica,
p5_1,"P 5 Para quienes respondieron 1, 4 y 6 en la pregunta 3 (P3) 1 ¿Cuántas horas trabaja al día (considerando hora de comida)?: hrs_",economia_y_trabajo,numerica,
p5_2,P 5 2 Min___,economia_y_trabajo,numerica,
p6,P 6 ¿Cuántos días a la semana trabaja?:,economia_y_trabajo,numerica,
p7_2,P 7 2 Seguro Medico (IMSS/ privado),economia_y_trabajo,categorica,
p7_3,P 7 3 Guardería,economia_y_trabajo,categorica,
p7_4,P 7 4 Fondo de ahorro para el retiro,economia_y_trabajo,categorica,
p7_5,P 7 5 Aguinaldo,economia_y_trabajo,categorica,
p7_6,P 7 6 Bonos de despensa,economia_y_trabajo,categorica,
p7_7,"P 7 7 Flexibilidad de horario (poder elegir hora de entrada, salida y comida)",economia_y_trabajo,categorica,
p7_8,P 7 8 Transporte privado (de la empresa),economia_y_trabajo,categorica,
p8_1,"P 8 P 8 2 Min___ 1 Al día, ¿cuántas horas destina a los quehaceres constantes del hogar (limpiar, lavar ropa, cocinar, acudir a pagar servicios, trámites, compras del hogar)? Hras____",economia_y_trabajo,numerica,
p9_1,"Al día, ¿cuántas horas dedica al cuidado no remunerado de otras personas (como niños/as, personas enfermas o adultos/as mayores)? Incluya actividades como alimentación, atención de necesidades básicas, acompañamiento en tareas, transporte a la escuela o citas médicas, y aseo personal. Hras ___",economia_y_trabajo,numerica,
p10_1,"Al día, ¿cuántas horas destina a actividades de ocio o no relacionadas con el trabajo? (pasatiempos, ir al parque, pasear, hacer ejercicio, meditar, leer, ver la tele/celular, etc.) Hras___",economia_y_trabajo,numerica,
p10_2,P 10 2 Min___,economia_y_trabajo,numerica,
p11,¿Durante el día de ayer salió de casa? Nota: Cuando la entrevista es realizada en domingo o lunes entonces preguntar por viaje del día viernes.,movilidad,categorica,
p12,"P 12 Si respondió que no en la pregunta anterior (P11), ¿por qué no salió?",movilidad,categorica,
p13,"Si contestó que sí salió de casa, ¿cuál fue el principal motivo para trasladarse fuera de su casa? Nota: Si tuvo varios viajes, seleccionar el más recurrente",movilidad,categorica,
p14,"Si respondió C Compras, ¿qué tipo de compras realizó?",movilidad,categorica,
p15,¿Cuántas veces a la semana se traslada por este motivo?,movilidad,categorica,
p16,P 16 Para su principal motivo de traslado que nos mencionó ¿cuál fue el municipio de su destino?,movilidad,categorica,
p17,"P 17 Para su principal motivo de traslado que nos mencionó, ¿Cuál fue la colonia de su destino?",movilidad,numerica,
p18,"Para llegar al destino principal que nos mencionó ¿Cuál de los siguientes modos de transporte utilizó? Nota: Si utilizó más de uno, seleccionar en el que pasó más tiempo",movilidad,categorica,
p18_8,P 18 8 ¿Cuántas personas viajan en el auto?:,movilidad,numerica,
p19,Si contestó 3: Taxi 4: Uber 5: Motocicleta 8: Automóvil ¿Por qué no utiliza el transporte público colectivo? Razón más importante (A encuestadores: No leer las opciones),movilidad,categorica,
p20,P 20 2 Min: PREGUNTAS SOLO PARA QUIENES USAN TRANSPORTE PÚBLICO COMO MEDIO PRINCIPAL DE TRASLADO 1 ¿Cuánto tiempo esperó para tomar su principal medio de transporte? Hrs:,movilidad,numerica,
p21,"¿Realizó algún transbordo en su viaje de ida a su destino principal? (Cambio de unidad de transporte para completar un viaje, puede ser el mismo medio de transporte público u otro)",movilidad,categorica,
p22,P 22 Si respondió que sí a la pregunta anterior: ¿Cuántos transbordos realizó en su viaje de ida?,movilidad,categorica,
p23,P 23 ¿Cuál fue el COSTO TOTAL de su viaje principal de IDA a su destino?,movilidad,numerica,
p24,P 24 ¿Cuál fue el COSTO TOTAL de su viaje principal de REGRESO a su casa?,movilidad,numerica,
p25,P 25 ¿Cuál es su gasto total semanal en transporte público?,movilidad,numerica,
p26_1,"¿Cuánto tiempo de ida tardó en el medio que lo transportó a su destino principal (P3)? Desde que sale de su casa hasta que llega a su destino, Incluya tiempo de caminata, espera y transbordo Hrs:",movilidad,numerica,
p26_2,P 26 2 Min:,movilidad,numerica,
p27_1,"¿Cuánto tiempo tardó de vuelta en el medio que lo transportó a su destino principal (P3)? Incluya tiempo de caminata, espera y transbordo; desde que sale de su destino hasta que llega a su casa. Hrs:",movilidad,numerica,
p27_2,P 27 2 Min:,movilidad,numerica,
p28,"Solo para quienes respondieron que NO utilizaron transporte público en su viaje principal Durante los viajes que realiza en la semana ¿para alguno utiliza el transporte público (camión, microbús, ecovía, transmetro, metro) como medio de transporte?",movilidad,categorica,
p29,P 29 Solo para quienes respondieron que NO utilizaron metro en su viaje principal Durante los viajes que realiza en la semana ¿para alguno utiliza el metro como medio de transporte?,movilidad,categorica,
p30,P 30 Ante la llegada de nuevos camiones anunciados por parte del gobierno del estado. ¿Ha notado mejoría en el servicio?,movilidad,categorica,
p31_1,P 31 Vamos a evaluar la calidad del servicio de transporte público. Conteste las siguientes preguntas según su experiencia 1 ¿El tiempo de espera por unidades es siempre el mismo,movilidad,categorica,
p31_2,"Si necesita viajar a zonas que normalmente no visita, ¿sabe dónde consultar qué ruta lo lleva, por dónde pasa, y dónde está la parada?",movilidad,categorica,
p31_3,P 31 3 ¿Se siente seguro(a) viajando en el transporte público?,movilidad,categorica,
p31_4,"P 31 4 En su viaje, ¿regularmente puede ir sentado(a)?",movilidad,categorica,
p31_5,"¿Los choferes manejan en forma prudente y segura? (manejan a una velocidad adecuada, respetan los semáforos, señales de tránsito y no usan el celular cuando están manejando)",movilidad,categorica,
p31_6,P 31 6 ¿Las unidades de transporte público que utiliza están climatizadas?,movilidad,categorica,
p32,P 32 Considera que la tarifa del transporte público es:,movilidad,categorica,
p33_1,P 33 1 Asientos dañados o sucios.,movilidad,categorica,
p33_2,P 33 2 Vidrios rotos.,movilidad,categorica,
p33_3,P 33 3 Grafiti y rayones.,movilidad,categorica,
p33_4,"P 33 4 Ruidoso, escandaloso.",movilidad,categorica,
p33_5,P 33 5 Echa humo contaminante.,movilidad,categorica,
p33_6,P 33 6 Puertas o ventanas que no cierran adecuadamente.,movilidad,categorica,
p33_7,"P 33 7 Timbre dañado o inexistente (Si el timbre está dañado o no existe, responder sí)",movilidad,categorica,
p33_8,P 33 8 Goteras en época de lluvia.,movilidad,categorica,
p33_9,"P 33 9 Aparatos validadores de tarjeta dañados o inexistentes. (Si el aparato está dañado o no existe, responder sí)",movilidad,categorica,
p34_1,P 34 1 Le miraron morbosamente el cuerpo,movilidad,categorica,
p34_2,Le dijeron piropos obscenos u ofensivos de carácter sexual,movilidad,categorica,
p34_3,Le hicieron sentir miedo de sufrir un ataque o abuso sexual,movilidad,categorica,
p34_4,Le tocaron o manosearon el cuerpo sin su consentimiento,movilidad,categorica,
p35,"Tomando en cuenta las preguntas previas: Evalúe del 1 al 10 qué tan satisfecho está con el SERVICIO DE TRANSPORTE PÚBLICO, donde 1 es lo más bajo (lo peor) y lo más alto es 10 (lo mejor).",movilidad,categorica,
p36,P 36 ¿Cuántas bicicletas hay en el hogar?,movilidad,numerica,
p37,P 37 Durante los viajes que realiza en la semana ¿para alguno utiliza la bicicleta como medio de transporte?,movilidad,categorica,
p38,P 38 Para quién respondió que no ¿cuál es la razón principal para no usar la bicicleta?,movilidad,categorica,
p39,¿Cuántos vehículos de motor (autos y camionetas) hay en el hogar?,movilidad,numerica,
p40,En esta vivienda ¿Cuál es el gasto total por semana en gasolina?,movilidad,numerica,
p41,¿Actualmente cuenta con una licencia de conducir vigente?,movilidad,categorica,
p42,¿Realizó un exámen de manejo teórico y práctico para obtener su licencia?,movilidad,categorica,
p43_1,Cuando camina en este municipio considera que: P 43 1 ¿Los cruces peatonales a nivel de calle están marcados y le permiten desplazarse con seguridad?,movilidad,categorica,
p43_2,P 43 2 ¿Las rampas para personas con discapacidad están en buen estado?,movilidad,categorica,
p43_3,P 43 3 ¿Hay banquetas durante todo su trayecto?,movilidad,categorica,
p43_4,P 43 4 ¿Las banquetas son amplias para que circulen dos personas en silla de ruedas o carriolas?,movilidad,categorica,
p43_5,"¿Las banquetas tienen obstáculos? (como cabinas telefónicas, postes, árboles, carros estacionados, negocios informales)",movilidad,categorica,
p43_6,"P 43 6 ¿Las banquetas están dañadas? (roturas, hoyos, etc)",movilidad,categorica,
p43_7,P 43 7 ¿Las banquetas cuentan con alumbrado adecuado y funcionando para desplazarse por la noche?,movilidad,categorica,
p43_8,8 ¿Existen suficientes árboles que le brinden sombra?,movilidad,categorica,
p44,"Del 1 al 10 ¿Cómo califica la calidad y estado de las banquetas en su municipio? Donde 1 es lo más bajo (lo peor) y 10, lo más alto (lo mejor).",movilidad,categorica,
p45,"De acuerdo con su percepción, mencione cuál es el principal problema con el que se enfrenta cuando SE MUEVE por la ciudad",movilidad,categorica,
p46,P 46 ¿Considera que en su colonia existe un problema de viviendas abandonadas?,desarrollo_urbano,categorica,
p47,P 47 ¿Cuándo fue la última vez que se mudó de casa?,desarrollo_urbano,categorica,
p48,P 48 Solo para quienes responden 1 y 2. La vivienda a la que se mudó es:,desarrollo_urbano,categorica,
p49,P 49 ¿En qué municipio y estado vivía antes?,desarrollo_urbano,categorica,
p50,P 50 ¿Cuál fue el motivo de su cambio de residencia?,desarrollo_urbano,categorica,
p51,"Para quienes responden 1 (""compré una casa o departamento"") en la pregunta anterior ¿Por qué razón eligió comprar esta casa/departamento en esta zona?",desarrollo_urbano,categorica,
p52_1,P 52 1 Alumbrado público.,desarrollo_urbano,categorica,
p52_2,P 52 2 Condición de las calles y avenidas.,desarrollo_urbano,categorica,
p52_3,"P 52 3 Parques, plazas y áreas verdes.",desarrollo_urbano,categorica,
p52_4,P 52 4 Drenaje pluvial.,desarrollo_urbano,categorica,
p52_5,P 52 5 Recolección de basura.,desarrollo_urbano,categorica,
p53,P 53 ¿En su colonia existen perros o gatos abandonados / en la calle?,desarrollo_urbano,categorica,
p54,"P 54 En su opinión, ¿cuál es el principal problema de DESARROLLO URBANO que se vive en su municipio?",desarrollo_urbano,categorica,
p55,P 55 1 Disminución de la presión del agua,medio_ambiente,categorica,
p56_2,P 56 2 Cortes de agua,medio_ambiente,categorica,
p57_3,"P 57 3 Mala calidad de agua (turbia, sucia, o mal olor)",medio_ambiente,categorica,
p58,"Durante el último año, ¿ha tenido que realizar compras extraordinarias (tinaco, cisterna, filtro, etc.) para enfrentar la falta o mala calidad del agua?",medio_ambiente,categorica,
p60,P 60 Por lo general ¿con qué frecuencia visita los parques de su municipio?,medio_ambiente,categorica,
p61_1,P 61 1 Están limpios y tienen buena imagen.,medio_ambiente,categorica,
p61_3,"P 61 3 Cuentan con espacios para hacer ejercicio (canchas, aparatos o pistas)",medio_ambiente,categorica,
p61_4,"Cuentan con suficientes árboles que brinden sombra y vegetación en el suelo bien cuidada (pasto, jardínes, plantas)",medio_ambiente,categorica,
p61_5,"Cuentan con infraestructura necesaria (rampas para personas con discapacidad, bancas, bebederos, luminarias funcionando).",medio_ambiente,categorica,
p62,¿Qué tan limpio o contaminado considera que es el aire en su municipio?,medio_ambiente,categorica,
p63_1,P 63 1 Implementar verificación vehicular (revisión de las emisiones contaminantes de los vehículos en circulación).,medio_ambiente,categorica,
p63_2,"P 63 2 Implementar ""Hoy no circula"" (Programa en el que salen de circulación algunos días cada vehículo)",medio_ambiente,categorica,
p63_3,P 63 3 Retirar de circulación a vehículos contaminantes,medio_ambiente,categorica,
p63_4,P 63 4 Invertir más en transporte público y menos en infraestructura para el automóvil.,medio_ambiente,categorica,
p63_5,"P 63 5 Sancionar a industrias que contaminen, aunque implique su clausura.",medio_ambiente,categorica,
