concept_id,label,accion,tipos,y2023,y2024,y2025,n,score,opts,multi,t23,t24,t25
c002,ha realizado al menos una de las acciones de partici,revisar,categorica,al_menos_una_accion_pc,,al_menos_una_accion_pc,2,0.77,match,,Ha realizado al menos una de las acciones de partici,,Ha realizado al menos una de las acciones de partici
c003,cree que en nuevo leon se discrimina a la gente por ,revisar,categorica/numerica,al_menos_una_discriminacion,,al_menos_una_discriminacion,2,1.0,na,,Cree que en Nuevo León se discrimina a la gente por ,,Cree que en Nuevo León se discrimina a la gente por 
c004,costo total de su viaje principal ida y regreso,revisar,numerica,costo_total_viaje,costo_total_viaje_redondo,costo_total_viaje_redondo,3,0.44,na,,COSTO TOTAL de su viaje principal (IDA y REGRESO),Costo total viaje redondo,Costo total de su viaje principal redondo
c005,cuantas personas viven en este hogar,revisar,categorica/numerica,cp1,cp1,cp1,3,1.0,na,,¿Cuantas personas viven en este hogar?,CP 1 ¿Cuantas personas viven en este hogar?,¿Cuantas personas viven en este hogar?
c011,como evaluaria las instalaciones y equipamientos de ,revisar,categorica,cp15,cp16,cp17,3,0.52,match,,¿Cómo evaluaría las instalaciones y equipamientos de,¿Cómo evaluaría las instalaciones y equipamientos (b,De acuerdo con la siguiente escala ¿Cómo evaluaría l
c012,tomando en cuenta las preguntas previas en una escal,revisar,categorica/numerica,cp16_1,,cp19,2,0.74,na,,Tomando en cuenta las preguntas previas: en una esca,,"En una escala del 1 al 10, donde 1 es ""nada satisfec"
c023,la presencia de policias en su colonia es suficiente,revisar,categorica,p100_1,p1081,p120_1,3,0.66,match,,¿La presencia de policías en su colonia es suficient,P 108 En el tema de SEGURIDAD considera que: 1 ¿La p,¿La presencia de policías en su colonia es suficient
c026,el trato del policia al ciudadano es de forma respet,revisar,categorica,p100_4,p108_4,p120_4,3,0.65,code_diff,,¿El trato del policía al ciudadano es de forma respe,¿El trato del policía al ciudadano es de forma respe,¿El trato del policía hacia las personas de su colon
c029,policia de su municipio y barrio,revisar,categorica/numerica,p101_1,p109_1,p121_1,3,1.0,match,,Policía de su Municipio y Barrio,P 109 1 Policía de su Municipio y Barrio,Policía de su Municipio y Barrio
c030,fuerza civil,revisar,categorica/numerica,p101_2,p109_2,p121_2,3,1.0,match,,Fuerza Civil,P 109 2 Fuerza Civil,Fuerza Civil
c031,guardia nacional,revisar,categorica/numerica,p101_3,p109_3,p121_3,3,1.0,match,,Guardia Nacional,P 109 3 Guardia Nacional,Guardia Nacional
c032,ejercito y marina,revisar,categorica/numerica,p101_4,p109_4,p121_4,3,1.0,match,,Ejército y Marina,P 109 4 Ejército y Marina,Ejército y Marina
c033,transito,revisar,categorica/numerica,p101_5,p109_5,p121_5,3,1.0,match,,Tránsito,P 109 5 Tránsito,Tránsito
