wave_id,question_id,q_type,reason
2021,p107,categorica,"si/no codificado 0/1 que la fuente tipo numerico; equivalente a p105/2022, p120/2023, p129/2024, p137/2025 (todas categoricas)"
2021,p9_2,categorica,"colonia de destino (identificador codificado, no numerico)"
2021,p10_b,categorica,"ruta de camion (identificador codificado, no numerico)"
2021,p11_b_1,categorica,"ruta de camion (identificador codificado, no numerico)"
2021,p6,categorica,"motivo principal de viaje (opciones nominales, no cantidad); equivalente a p9/2022 (categorica). Sin respuestas cargadas en esta ola"
2021,p7,categorica,"motivo por el que no viajo (opciones nominales); equivalente a p10/2022 (categorica). Sin respuestas cargadas en esta ola"
2021,p27,categorica,"si/no codificado 0/1; equivalente a p29/2022, p34/2023, p37/2024, p47/2025 (todas categoricas). Etiquetas 0=No/1=Si en options_fixes"
2021,p34,categorica,"si/no codificado 0/1; equivalente a p40_1/2022 (categorica, opciones NO/SI). Sin respuestas cargadas en esta ola"
2021,p35,categorica,"si/no codificado 0/1; equivalente a p41/2022 (categorica). Sin respuestas cargadas en esta ola"
2021,p101,categorica,"si/no codificado 0/1 (voto en las pasadas elecciones); equivalente a p120/2024 (categorica). Etiquetas 0=No/1=Si en options_fixes"
2022,p13,categorica,"colonia de destino (identificador codificado, no numerico)"
2022,p14_b,categorica,"ruta de camion (identificador codificado, no numerico)"
2022,p31_0,categorica,"si/no codificado 0/1; equivalente a p26/2023, p28/2024, p29/2025 (todas categoricas). Etiquetas 0=No/1=Si en options_fixes"
2022,p40_1,categorica,"si/no codificado 0/1 que la fuente tipo numerico; ya trae opciones NO/SI en options"
2022,p69_15,categorica,"si/no codificado 0/1; equivalente a p68_16/2023 (categorica). Etiquetas 0=No/1=Si en options_fixes"
2022,p120.10.1,categorica,"si/no codificado 0/1; equivalente a p139_10/2023 y p157__10/2024 (categoricas). Sin respuestas cargadas en esta ola"
2023,al_menos_una_discriminacion,categorica,"si/no codificado 0/1 que la fuente tipo numerico; ya tiene opciones 0=No/1=Si en options, y la misma variable es categorica en 2024 y 2025"
2023,p15,categorica,"colonia de destino (identificador codificado, no numerico)"
2024,p17,categorica,"colonia de destino (identificador codificado, no numerico)"
