concept_id,label,q_type,comparable,n_waves,opts
attr_edad_anos,edad_anos,numerica,True,5,na
attr_modo_transporte,modo_transporte,categorica,True,3,relabel?
attr_nivel_actual_estudios,nivel_actual_estudios,categorica,True,4,match
attr_nivel_max_estudios,nivel_max_estudios,categorica,True,4,match
attr_servicio_salud_donde_se_atendio,servicio_salud_donde_se_atendio,categorica,True,2,relabel?
attr_sexo,sexo,categorica,True,3,relabel?
attr_tipo_consulta,tipo_consulta,categorica,True,4,match
attr_tipo_escuela,tipo_escuela,categorica,True,5,match
attr_tipo_trabajo,tipo_trabajo,categorica,True,4,relabel?
c003,cuantas personas viven en el hogar,numerica,True,5,match
c006,1 1 parentesco otro,numerica,True,2,na
c007,1 estudia actualmente,categorica,True,4,match
c015,durante el dia de ayer cual de los siguientes modos de transporte usted utilizo ,numerica,True,2,na
c016,voto en las pasadas elecciones,numerica,True,2,na
c023,considera que el gobierno de de alcalde hizo un buen uso de los recursos publico,categorica,True,4,match
c025,la corrupcion consiste en el abuso de poder para beneficio propio en su opinion ,categorica,True,4,match
c026,usted o algun conocido o familiar experimento algun acto de corrupcion en algun ,numerica,True,4,match
c027,en su opinion en su municipio la corrupcion es una practica,categorica,True,4,match
c029,b ruta,numerica,True,2,na
c030,c cuantas personas viajan en el taxi sin contar al conductor,numerica,True,3,na
c031,d cuantas personas viajan en el uber sin contar al conductor,numerica,True,3,na
c032,h cuantas personas viajan en el auto,numerica,True,5,na
c034,considera que de alcalde alcaldesa,numerica,True,2,na
c035,1 fue un gobernante honesto a,categorica,True,3,match
c036,2 fue capaz de resolver los problemas del municipio,categorica,True,4,match
c039,usted considera que de alcalde alcaldesa saliente tomo la mayoria de sus decisio,categorica,True,5,match
c040,en terminos generales aprueba o desaprueba el trabajo que hizo de alcalde alcald,categorica,True,4,match
c041,en terminos generales considera que hoy comparado con hace tres anos este munici,categorica,True,2,match
c045,2 fue capaz de resolver los problemas del estado,categorica,True,4,match
c048,usted considera que jaime rodriguez calderon tomo la mayoria de sus decisiones e,categorica,True,5,match
c049,en terminos generales aprueba o desaprueba el trabajo que hizo jaime rodriguez c,categorica,True,4,match
c050,para usted el gobierno de jaime rodriguez calderon fue,categorica,True,2,match
c069,si contesto 3 taxi 4 uber 5 motocicleta 8 automovil por que no utiliza el transp,categorica,True,2,relabel?
c074,ha realizado alguna s de siguientes acciones en los ultimos 12 meses para mejora,numerica,True,3,na
c075,1 asistir a marchas caminatas o manifestaciones,categorica,True,4,match
c076,10 otra 10 1 especificar,numerica,True,3,match
