q_id,q_text,q_section,q_type,q_notes
cp1,¿Cuantas personas viven en el hogar?,datos_generales,categorica,
cp2_1,Sexo. A encuestadores: preguntar sexo (asignado de nacimiento),datos_generales,categorica,
cp2_2_1,Género. A encuestadores: preguntar género (no asumirlo),datos_generales,categorica,
cp3_1,¿Cuántos años cumplidos tiene (NOMBRE)?,datos_generales,numerica,
cp3_1_1,Meses.,datos_generales,numerica,
cp4_1,¿Con quién vive en su hogar?,datos_generales,categorica,
cp5_1,"¿Qué parentesco tiene (NOMBRE) con el jefe(a) del hogar ? Sí son dos jefes de familia, elegir uno de forma aleatoria.",datos_generales,categorica,
cp5_1_1,Parentesco (Otro)__,datos_generales,numerica,
cp6_1,¿Con cuál servicio médico cuenta (NOMBRE)?,desarrollo_social_y_economico,categorica,
cp7_1,(NOMBRE) ¿Estudia actualmente?,desarrollo_social_y_economico,categorica,
cp8_1,¿Cuál es el nivel máximo de estudios terminado (si ya no estudia)?,desarrollo_social_y_economico,categorica,
cp9_1,¿Cuál es el nivel máximo de estudios actualmente cursando (si sigue estudiando)?,desarrollo_social_y_economico,categorica,
cp10_1,Tipo de escuela,desarrollo_social_y_economico,categorica,
cp11_1,¿Cómo evaluaría las instalaciones y equipamientos de la escuela a la que asiste NOMBRE DEL ESTUDIANTE?,desarrollo_social_y_economico,categorica,
cp12_1,¿Cuántos días a la semana en la escuela de NOMBRE DEL ESTUDIANTE hay problemas de abastecimiento de agua?,desarrollo_social_y_economico,categorica,
cp13_1,"Durante el último ciclo escolar de NOMBRE DEL ESTUDIANTE, ¿se le solicitó el PAGO OBLIGATORIO de alguna cuota?",desarrollo_social_y_economico,categorica,
cp14_1,Durante los últimos 12 meses NOMBRE DEL ESTUDIANTE ha sido victima de BULLYING o ACOSO ESCOLAR en la escuela a la que asiste,desarrollo_social_y_economico,categorica,
cp15_1,¿Considera que las autoridades escolares o maestros han tomado medidas efectivas para mitigar los casos de bullying o acoso escolar?,desarrollo_social_y_economico,categorica,
cp16_1,"Tomando en cuenta las preguntas previas: en una escala del 1 al 10, donde 1 es ""nada satisfecho"" y 10 es ""completamente satisfecho"", ¿qué tan satisfecho está con el SERVICIO EDUCATIVO? Estudiantes en:",desarrollo_social_y_economico,numerica,
cp16_a_8,Primaria,desarrollo_social_y_economico,categorica,
cp16_b_8,Secundaria,desarrollo_social_y_economico,categorica,
cp16_c_9,"Media Superior (Preparatoria, bachillerato)",desarrollo_social_y_economico,categorica,
p1,"De acuerdo con su experiencia, evalúe las siguientes afirmaciones",desarrollo_social_y_economico,numerica,
p2,"En su hogar existen suficientes dispositivos electrónicos para que las personas que estudian tomen clases o realicen actividades escolares (laptop, tablet, celular, computadora, televisión)",desarrollo_social_y_economico,categorica,
p3,Su hogar cuenta con una conexión a internet,desarrollo_social_y_economico,categorica,
p4,"Durante la semana pasada, ¿cuál fue su principal actividad laboral? (Seleccione una)",desarrollo_social_y_economico,categorica,
p5,¿Cuántas horas trabaja al día (considerando hora de comida)?:,desarrollo_social_y_economico,numerica,
p6,¿Cuántos días a la semana trabaja?:,desarrollo_social_y_economico,numerica,
p7_a,"Al día, ¿cuántas horas destina a los quehaceres constantes del hogar (limpiar, lavar ropa, cocinar, acudir a pagar servicios, trámites, compras del hogar)? Hras____ Min___",desarrollo_social_y_economico,numerica,
p8_a,"Al día, ¿cuántas horas destina al cuidado no remunerado de personas, como niños(as), personas enfermas, o ancianos(as) (atenderlos en sus necesidades, acompañamiento en tareas y deberes, llevarlos a la escuela, al médico, bañarles, alimentarles)? Hras____ Min___",desarrollo_social_y_economico,numerica,
p9,"Durante el día de ayer, ¿cuál fue el principal motivo para trasladarse fuera de su casa? Nota: Cuando la entrevista sea realizada en domingo o lunes entonces preguntar por viaje del día viernes. Si tuvo varios viajes, seleccionar el más recurrente",desarrollo_sustentable,categorica,
p9_1,"Si respondió C Compras, ¿qué tipo de compras realizó?",desarrollo_sustentable,categorica,
p10,"Si respondió sin viaje en la pregunta anterior (P9), ¿por qué no salió?",desarrollo_sustentable,categorica,
p11,¿Cuántas veces a la semana se dirige a este destino?,desarrollo_sustentable,categorica,
p12,Para su principal motivo de traslado que nos mencionó ¿cuál fue el municipio de su destino?,desarrollo_sustentable,categorica,
p13,¿Cuál fue la colonia de su destino?,desarrollo_sustentable,numerica,
p14,"Durante el día de ayer: ¿Cuál de los siguientes modos de transporte usted utilizó para llegar a su destino? (Si utilizó más de uno, seleccionar en el que pasó más tiempo)",desarrollo_sustentable,categorica,
p14_b,Ruta:,desarrollo_sustentable,numerica,
p14_c,¿Cuántas personas viajan en el Taxi? (sin contar al conductor):,desarrollo_sustentable,numerica,
p14_d,¿Cuántas personas viajan en el Uber? (sin contar al conductor):,desarrollo_sustentable,numerica,
p14_h,¿Cuántas personas viajan en el auto?:,desarrollo_sustentable,numerica,
p15,"Si contestó 3: Taxi, 4: Uber, 5: Motocicleta, 8: Automóvil, ¿Por qué no utiliza el transporte público? Razón más importante",desarrollo_sustentable,categorica,
p16_1,¿Cuánto tiempo esperó para tomar su principal medio de transporte? Hrs:,desarrollo_sustentable,numerica,
p16_2,Min:,desarrollo_sustentable,numerica,
p17,¿Realizó algún transbordo en su viaje de ida?,desarrollo_sustentable,categorica,
p18,¿Cuántos transbordos realizó en su viaje de ida?,desarrollo_sustentable,categorica,
p19,¿Cuántas bicicletas hay en el hogar?,desarrollo_sustentable,numerica,
p20,¿Cuántas motocicletas hay en el hogar?,desarrollo_sustentable,numerica,
p21,¿Cuál es su gasto total semanal en gasolina por usar su motocicleta?,desarrollo_sustentable,numerica,
p22,¿Cuántos vehículos de motor (autos y camionetas) hay en el hogar?,desarrollo_sustentable,numerica,
