concept_id,label,tipos,y2023,y2024,y2025,n,score,multi,opts,confianza,accion_sugerida,aprobar,text_2023,text_2024,text_2025
attr_edad_anos,edad_anos,numerica,cp4_1,cp4_1,cp4_1,3,1.0,,na,CIERTO,comparable,,¿Cuántos años cumplidos tiene (NOMBRE)?,CP 4 ¿Cuántos años cumplidos tiene (NOMBRE)?,¿Cuántos años cumplidos tiene (NOMBRE)?
attr_nivel_max_estudios,nivel_max_estudios,categorica,cp8,cp8,cp8,3,1.0,,match,CIERTO,comparable,,¿Cuál es el nivel máximo de estudios terminado?,CP 8 ¿Cuál es el nivel máximo de estudios terminado?,¿Cuál es el nivel máximo de estudios terminado?
attr_nivel_actual_estudios,nivel_actual_estudios,categorica,cp9,cp9,cp9,3,0.96,,match,CIERTO,comparable,,¿Cuál es el nivel máximo de estudios actualmente cursando (s,9 ¿Cuál es el nivel máximo de estudios actualmente cursando ,¿Cuál es el nivel máximo de estudios actualmente cursando (s
attr_tipo_consulta,tipo_consulta,categorica,p83,p89,p100,3,0.89,,match,CIERTO,comparable,,Su última visita médica en fue:,P 89 Su última visita médica fue:,Su última visita médica fue:
attr_tipo_trabajo,tipo_trabajo,categorica,p3,p3,p1,3,0.82,,relabel?,CIERTO,comparable,,"Durante la semana pasada, ¿cuál fue su principal actividad l","P 3 Durante la semana pasada, ¿cuál fue su principal ocupaci","Durante la semana pasada, ¿cuál fue su principal ocupación? "
attr_sexo,sexo,categorica,cp2,cp2,cp2,3,0.38,,relabel?,CIERTO,comparable,,Sexo. A encuestadores: preguntar sexo (asignado de nacimient,CP 2 Sexo. A encuestadores: preguntar sexo (asignado de naci,¿Cuál es su sexo asignado al nacer?
attr_ingreso,ingreso,categorica,p144,p164,p167,3,0.3,,relabel?,CIERTO,comparable,,FINALMENTE: ¿Cuál es el ingreso mensual total del hogar?,FINALMENTE: ¿Cuál es el ingreso mensual total del hogar?,FINALMENTE: Tomando en cuenta a todas las personas que aport
attr_tipo_escuela,tipo_escuela,categorica,cp10,cp10,cp11,3,0.17,,match,CIERTO,comparable,,Tipo de escuela,CP 10 Tipo de escuela,¿La escuela a la que asiste es pública o privada?
attr_servicio_salud_donde_se_atendio,servicio_salud_donde_se_atendio,categorica,p80,p86,p97,3,1.0,,code_partial,CIERTO,solo_concepto,,¿En dónde se atendió?,P 86 ¿En dónde se atendió?,¿En dónde se atendió?
attr_afiliacion_servicio_salud,afiliacion_servicio_salud,categorica,cp6,cp6,cp6,3,0.53,,code_partial,CIERTO,solo_concepto,,¿Con cuál servicio médico cuenta (NOMBRE)?,CP 6 ¿Con cuál servicio médico cuenta (NOMBRE)?,"¿Con cuál servicio médico cuenta (NOMBRE)?

Nota para encues"
attr_modo_transporte,modo_transporte,categorica,p16,p16,p17,3,0.25,,code_diff,CIERTO,solo_concepto,,Durante el día de ayer: ¿Cuál de los siguientes modos de tra,P 16 Para su principal motivo de traslado que nos mencionó ¿,Para llegar al destino principal que nos mencionó ¿Cuál de l
c016,con quien vive en su hogar,categorica,cp5,cp5,cp5,3,1.0,,match,ALTO,comparable,,¿Con quién vive en su hogar?,CP 5 ¿Con quién vive en su hogar?,¿Con quién vive en su hogar?
c017,estudia actualmente,categorica,cp7,cp7,cp7,3,1.0,,match,ALTO,comparable,,(NOMBRE) ¿Estudia actualmente?,CP 7 (NOMBRE) ¿Estudia actualmente?,(NOMBRE) ¿Estudia actualmente?
c045,la fiscalia general de justicia es la responsabl,categorica,p109,p107,p119,3,1.0,,match,ALTO,comparable,,La Fiscalía General de Justicia es la responsable de investi,La Fiscalía General de Justicia es la responsable de investi,La Fiscalía General de Justicia es la responsable de investi
c056,en su opinion en su municipio la corrupcion es u,categorica,p119,p128,p136,3,1.0,,match,ALTO,comparable,,"En su opinión, en su municipio la corrupción es una práctica","En su opinión, en su municipio la corrupción es una práctica","En su opinión, en su municipio la corrupción es una práctica"
c064,cuenta con un equipo capacitado,categorica,p124_3,p142_3,p141,3,1.0,,match,ALTO,comparable,,¿Cuenta con un equipo capacitado?,P 142 3 ¿Cuenta con un equipo capacitado?,¿Cuenta con un equipo capacitado?
c065,ha cumplido con sus promesas de campana compromi,categorica,p124_4,p143_4,p142,3,1.0,,match,ALTO,comparable,,¿Ha cumplido con sus promesas de campaña/compromisos?,¿Ha cumplido con sus promesas de campaña/compromisos?,¿Ha cumplido con sus promesas de campaña/compromisos?
c070,es capaz de resolver los problemas del estado,categorica,p128_2,p141_2,p147,3,1.0,,match,ALTO,comparable,,¿Es capaz de resolver los problemas del Estado?,P 141 2 ¿Es capaz de resolver los problemas del Estado?,¿Es capaz de resolver los problemas del Estado?
c073,usted considera que samuel garcia toma la mayori,categorica,p129,p144,p151,3,1.0,,match,ALTO,comparable,,Usted considera que Samuel García toma la mayoría de sus dec,P 144 Usted considera que Samuel García toma la mayoría de s,Usted considera que Samuel García toma la mayoría de sus dec
c081,asistir a marchas caminatas o manifestaciones,categorica,p139_1,p157_1,p161_1,3,1.0,,match,ALTO,comparable,,"Asistir a marchas, caminatas o manifestaciones.","P 157 1 Asistir a marchas, caminatas o manifestaciones.","Asistir a marchas, caminatas o manifestaciones."
c083,participar en dialogos con autoridades consejos ,categorica,p139_2,p157_2,p161_2,3,1.0,,match,ALTO,comparable,,Participar en diálogos con autoridades (Consejos o comités c,P 157 2 Participar en diálogos con autoridades (Consejos o c,Participar en diálogos con autoridades (Consejos o comités c
c084,hacer voluntariado en una asociacion civil o col,categorica,p139_3,p157_3,p161_3,3,1.0,,match,ALTO,comparable,,Hacer voluntariado en una asociación civil o colectivo.,P 157 3 Hacer voluntariado en una asociación civil o colecti,Hacer voluntariado en una asociación civil o colectivo.
c085,participar en juntas comites de vecinos,categorica,p139_4,p157_4,p161_4,3,1.0,,match,ALTO,comparable,,Participar en juntas/comités de vecinos.,P 157 4 Participar en juntas/comités de vecinos.,Participar en juntas/comités de vecinos.
c087,contactarse con los medios de comunicacion,categorica,p139_6,p157_6,p161_6,3,1.0,,match,ALTO,comparable,,Contactarse con los medios de comunicación.,P 157 6 Contactarse con los medios de comunicación.,Contactarse con los medios de comunicación.
c088,firmar peticiones en linea,categorica,p139_7,p157_7,p161_7,3,1.0,,match,ALTO,comparable,,Firmar peticiones en línea.,P 157 7 Firmar peticiones en línea.,Firmar peticiones en línea.
c089,votar o proponer en que se deberia gastar el pre,categorica,p139_8,p157_8,p161_8,3,1.0,,match,ALTO,comparable,,Votar o proponer en qué se debería gastar el presupuesto par,P 157 8 Votar o proponer en qué se debería gastar el presupu,Votar o proponer en qué se debería gastar el presupuesto par
c090,solicitar apoyo o presentar quejas a funcionario,categorica,p139_9,p157_9,p161_9,3,1.0,,match,ALTO,comparable,,Solicitar apoyo o presentar quejas a funcionarios o autorida,P 157 9 Solicitar apoyo o presentar quejas a funcionarios o ,Solicitar apoyo o presentar quejas a funcionarios o autorida
c098,cuantas personas viajan en el auto,numerica,p16_8,p18_8,p18,3,1.0,,na,ALTO,comparable,,¿Cuántas personas viajan en el auto?:,P 18 8 ¿Cuántas personas viajan en el auto?:,¿Cuántas personas viajan en el auto?:
c101,min,numerica,p18_2,p10_2,p20_2,3,1.0,,na,ALTO,comparable,,Min:,P 10 2 Min___,Min____
c105,cual fue el costo total de su viaje principal de,numerica,p21,p23,p24,3,1.0,,na,ALTO,comparable,,¿Cuál fue el COSTO TOTAL de su viaje principal de IDA a su d,P 23 ¿Cuál fue el COSTO TOTAL de su viaje principal de IDA a,¿Cuál fue el COSTO TOTAL de su viaje principal de IDA a su d
c106,cual fue el costo total de su viaje principal de,numerica,p22,p24,p25,3,1.0,,na,ALTO,comparable,,¿Cuál fue el COSTO TOTAL de su viaje principal de REGRESO a ,P 24 ¿Cuál fue el COSTO TOTAL de su viaje principal de REGRE,¿Cuál fue el COSTO TOTAL de su viaje principal de REGRESO a 
c114,si necesita viajar a zonas que normalmente no vi,categorica,p27_2,p31_2,p32_2,3,1.0,,match,ALTO,comparable,,"Si necesita viajar a zonas que normalmente no visita, ¿sabe ","Si necesita viajar a zonas que normalmente no visita, ¿sabe ","Si necesita viajar a zonas que normalmente no visita, ¿sabe "
c116,en su viaje regularmente puede ir sentado a,categorica,p27_4,p31_4,p32_4,3,1.0,,match,ALTO,comparable,,"En su viaje, ¿regularmente puede ir sentado(a)?","P 31 4 En su viaje, ¿regularmente puede ir sentado(a)?","En su viaje, ¿regularmente puede ir sentado(a)?"
c118,las unidades de transporte publico que utiliza e,categorica,p27_6,p31_6,p32_6,3,1.0,,match,ALTO,comparable,,¿Las unidades de transporte público que utiliza están climat,P 31 6 ¿Las unidades de transporte público que utiliza están,¿Las unidades de transporte público que utiliza están climat
c119,le miraron morbosamente el cuerpo,categorica,p28_1,p34_1,p39_1,3,1.0,,match,ALTO,comparable,,Le miraron morbosamente el cuerpo,P 34 1 Le miraron morbosamente el cuerpo,Le miraron morbosamente el cuerpo
c120,le dijeron piropos obscenos u ofensivos de carac,categorica,p28_2,p34_2,p39_2,3,1.0,,match,ALTO,comparable,,Le dijeron piropos obscenos u ofensivos de carácter sexual,Le dijeron piropos obscenos u ofensivos de carácter sexual,Le dijeron piropos obscenos u ofensivos de carácter sexual
c121,le hicieron sentir miedo de sufrir un ataque o a,categorica,p28_3,p34_3,p39_3,3,1.0,,match,ALTO,comparable,,Le hicieron sentir miedo de sufrir un ataque o abuso sexual,Le hicieron sentir miedo de sufrir un ataque o abuso sexual,Le hicieron sentir miedo de sufrir un ataque o abuso sexual
c122,le tocaron o manosearon el cuerpo sin su consent,categorica,p28_4,p34_4,p39_4,3,1.0,,match,ALTO,comparable,,Le tocaron o manosearon el cuerpo sin su consentimiento,Le tocaron o manosearon el cuerpo sin su consentimiento,Le tocaron o manosearon el cuerpo sin su consentimiento
c124,asientos danados o sucios,categorica,p30_1,p33_1,p36_1,3,1.0,,match,ALTO,comparable,,Asientos dañados o sucios.,P 33 1 Asientos dañados o sucios.,Asientos dañados o sucios.
c125,vidrios rotos,categorica,p30_2,p33_2,p36_2,3,1.0,,match,ALTO,comparable,,Vidrios rotos.,P 33 2 Vidrios rotos.,Vidrios rotos.
c128,echa humo contaminante,categorica,p30_5,p33_5,p36_3,3,1.0,,match,ALTO,comparable,,Echa humo contaminante.,P 33 5 Echa humo contaminante.,Echa humo contaminante.
c129,puertas o ventanas que no cierran adecuadamente,categorica,p30_6,p33_6,p36_4,3,1.0,,match,ALTO,comparable,,Puertas o ventanas que no cierran adecuadamente.,P 33 6 Puertas o ventanas que no cierran adecuadamente.,Puertas o ventanas que no cierran adecuadamente.
c130,timbre danado o inexistente si el timbre esta da,categorica,p30_7,p33_7,p36_5,3,1.0,,match,ALTO,comparable,,Timbre dañado o inexistente (Si el timbre está dañado o no e,P 33 7 Timbre dañado o inexistente (Si el timbre está dañado,Timbre dañado o inexistente (Si el timbre está dañado o no e
c131,goteras en epoca de lluvia,categorica,p30_8,p33_8,p36_6,3,1.0,,match,ALTO,comparable,,Goteras en época de lluvia.,P 33 8 Goteras en época de lluvia.,Goteras en época de lluvia.
