wave_id,action,question_id,target,q_text,q_section,q_type,reason
2024,rename,p1081,p108_1,,,,"typo del ETL: falta el guion bajo. El catalogo y el texto viven bajo p1081 y las 4,942 respuestas bajo p108_1. Se unifica en p108_1, que es como se llaman sus hermanos de bateria (p108_2..p108_6)"
2024,rename,p139_P,p139,,,,"sufijo '_P' espurio del ETL. El catalogo y el texto viven bajo p139_P y las 4,942 respuestas bajo p139"
2024,rename,p157__10,p157_10,,,,"doble guion bajo del ETL. El catalogo (0/1 + centinelas) y el texto viven bajo p157__10; las respuestas, bajo p157_10_otra. Se unifica en p157_10, como sus hermanos p157_1..p157_9"
2024,rename,p157_10_otra,p157_10,,,,"segunda mitad del par anterior: las 4,942 respuestas del item 10 ('Otra') de la bateria de participacion ciudadana"
2024,rename,p55_1,p55,,,,"el catalogo 0-5 de frecuencia y el texto viven bajo p55; las 4,942 respuestas bajo p55_1. Se unifica en p55, que es el codigo del cuestionario 2024 y el nombre que ya usan los renglones de concept_equivalences"
2024,rename,p151,p151_2,,,,"las 4,942 respuestas viven bajo p151 y el catalogo/texto bajo p151_2, que es el codigo del cuestionario 2024"
2024,rename,p152,p152_3,,,,"idem p151: respuestas bajo p152, catalogo/texto bajo p152_3"
2024,rename,p153,p153_4,,,,"idem p151: respuestas bajo p153, catalogo/texto bajo p153_4"
2024,rename,p154,p154_5,,,,"idem p151: respuestas bajo p154, catalogo/texto bajo p154_5"
2024,rename,p77_16,p77_16_espec,,,,"el renglon p77_16 del ETL trae el texto 'Otro. Especificar' y un catalogo de VERBATIMS (1 Por Ser Alcoholico, 2 Por Ser Honesto Y No Mentiroso, 3 Por su religion, 4 Por su estatura, 5 Por ser huerfano), asi que es el campo abierto, no el binario del item 16. Sus 5 respuestas viven bajo p77_16_espec. El binario 0/1 del item 16 se da de alta aparte como p77_16_otro"
2024,rename,p20,p20_1,,,,"el ETL fusiono dos preguntas en un solo renglon (q_text 'P 20 2 Min: ... 1 Cuanto tiempo espero ... Hrs:') y no cargo ninguna respuesta en el. Las horas viven en el huerfano p20_1 (773) y los minutos en p20_2 (786). Este renglon se queda con las HORAS y los minutos se dan de alta aparte"
2024,drop,p83_1,,,,,"duplicado exacto del ETL: son las mismas respuestas de p83 restringidas a quienes contestaron 1 (enfermedad cronica) en p81. Verificado: 57 respuestas, 57/57 con el mismo option_id que p83 del mismo respondente. p83 ya tiene las 196 completas, asi que no es dato perdido"
2024,drop,p83_2,,,,,"idem p83_1 con p81 = 2 (enfermedad aguda): 139 respuestas, 139/139 identicas a las de p83. 57 + 139 = las 196 de p83"
2024,insert,p7_1,,P 7 1 Vacaciones,economia_y_trabajo,categorica,"item 1 de la bateria de prestaciones; el cuestionario 2024 deja vacia su columna 'Codigo' y por eso el ETL no genero el renglon. Sus hermanos p7_2..p7_6 si existen. 2,322 respuestas con catalogo 0/1 + centinelas"
2024,insert,p8_2,,Min___,economia_y_trabajo,numerica,"los minutos de 'cuantas horas destina a los quehaceres constantes del hogar'; el ETL fusiono su enunciado dentro del q_text de p8_1 y no genero el renglon. 4,942 respuestas, rango 0-45 min sin centinelas. Mismo texto que 2023 p8_2"
2024,insert,p9_2,,Min___,economia_y_trabajo,numerica,"los minutos del cuidado no remunerado; mismo defecto que p8_2. 4,941 respuestas, rango 0-45 min sin centinelas. Mismo texto que 2023 p9_2"
2024,insert,p20_2,,Min:,movilidad,numerica,"los minutos de espera del transporte publico, la otra mitad del renglon p20 que el ETL fusiono. 786 respuestas, rango 0-50 min sin centinelas. Mismo texto que 2023 p18_2"
2024,insert,p59,,"P 59 ¿Qué tan preocupado se considera con respecto a la crisis de agua y la posibilidad de que se solucione?",medio_ambiente,categorica,"columna 'Codigo' vacia en el cuestionario 2024. 4,942 respuestas con el catalogo 0 Nada / 1 Algo / 2 Muy preocupado + 9999, exactamente el del cuestionario"
2024,insert,p61_2,,P 61 2 Son seguros para usted y su familia.,medio_ambiente,categorica,"item 2 de la bateria de parques; columna 'Codigo' vacia en el cuestionario. Sus hermanos p61_1, p61_3..p61_5 si existen. 4,942 respuestas con catalogo 0/1 + centinelas"
2024,insert,p77_16_otro,,P 77 16 Otro,discriminacion,categorica,"el binario 0/1 del item 16 ('Otro') de la bateria de discriminacion: el renglon que el ETL llamo p77_16 resulto ser el campo abierto (ver el rename de p77_16 a p77_16_espec), asi que el item queda sin renglon. 4,942 respuestas con catalogo 0/1 + centinelas"
